,0
0,-1.0
1,-0.8993164357138708
2,-0.8004616819494702
3,-0.7049246400736555
4,-0.6138606622449191
5,-0.5281312536555329
6,-0.44834193254570204
7,-0.37487788662420096
8,-0.30793717127802356
9,-0.2475612868716514
10,-0.1936630505419148
11,-0.14605174327300363
12,-0.1044555668100644
13,-0.06854148826984123
14,-0.03793258425018778
15,-0.012223021912432143
16,0.009009167049049168
17,0.026191351444382113
18,0.03974742966675194
19,0.05009064546766449
20,0.05761791441266245
21,0.06270548933308547
22,0.06570579979572912
23,0.06694530913491416
24,0.06672324244106512
25,0.06531104965200847
26,0.06295247918441609
27,0.05986414906625446
28,0.05623651403171814
29,0.05223513830996712
30,0.048002194712386544
31,0.043658120971997706
32,0.03930337401811717
33,0.03502023191323365
34,0.03087460149593806
35,0.026917797343179107
36,0.02318826448422195
37,0.01971322337893108
38,0.01651022103738154
39,0.013588576838320696
40,0.01095071563941706
41,0.00859338420610882
42,0.0065087498648992844
43,0.004685382659525636
44,0.003109124203428487
45,0.0017638479277527137
46,0.000632116567787943
47,-0.00030425644254306115
48,-0.001063734446086686
49,-0.001664666367506514
50,-0.0021249691868359057
51,-0.002461876462925843
52,-0.002691745463460095
53,-0.002829915738724852
54,-0.0028906123376445376
55,-0.002886887285283444
56,-0.0028305934024450805
57,-0.002732385034213568
58,-0.0026017407517725417
59,-0.0024470035893674317
60,-0.0022754348666621255
61,-0.002093278118645256
62,-0.0019058301049749192
63,-0.0017175162939733655
64,-0.0015319686104178663
65,-0.0013521035989298164
66,-0.0011801994851735286
67,-0.0010179709150429327
68,-0.0008666404179769037
69,-0.0007270058754506716
70,-0.0005995034808893685
71,-0.0004842658543897021
72,-0.00038117512658189984
73,-0.0002899109327237303
74,-0.00020999336277752073
75,-0.00014082099789195778
76,-8.170423048744201e-05
77,-3.189411606839876e-05
78,9.392958081443785e-06
79,4.295447716607385e-05
80,6.958455124686607e-05
81,9.005988483237996e-05
82,0.0001051286339879397
83,0.00011550182831204709
84,0.00012184704683650359
85,0.00012478405221045573
86,0.00012488210548585013
87,0.00012265870361629502
88,0.00011857950271187227
89,0.0001130592115651573
90,0.00010646326148332577
91,9.911007962224198e-05
92,9.127381349609665e-05
93,8.318737387777069e-05
94,7.504568172142371e-05
95,6.700902189596412e-05
96,5.92064223299315e-05
97,5.1738991589309325e-05
98,4.468316092832332e-05
99,3.8093788485771706e-05
